"NOME_PRODOTTO","DATA_RILEVAZIONE","PREZZO","IVA","ACCISA","NETTO"
"Benzina","2012-10-22","1824.77","316.70","728.40","779.67"
"Gasolio auto","2012-10-22","1747.21","303.23","617.40","826.58"
"GPL","2012-10-22","855.92","148.55","147.27","560.10"
"Benzina","2012-10-29","1795.39","311.60","728.40","755.39"
"Gasolio auto","2012-10-29","1731.79","300.56","617.40","813.83"
"GPL","2012-10-29","855.98","148.56","147.27","560.15"
"Benzina","2012-11-05","1763.35","306.04","728.40","728.91"
"Gasolio auto","2012-11-05","1715.76","297.78","617.40","800.58"
"GPL","2012-11-05","860.67","149.37","147.27","564.03"
"Benzina","2012-11-12","1746.58","303.13","728.40","715.05"
"Gasolio auto","2012-11-12","1704.88","295.89","617.40","791.59"
"GPL","2012-11-12","879.47","152.64","147.27","579.56"
"Benzina","2012-11-19","1749.70","303.67","728.40","717.63"
"Gasolio auto","2012-11-19","1707.51","296.34","617.40","793.77"
"GPL","2012-11-19","881.51","152.99","147.27","581.25"
"Benzina","2012-11-26","1754.61","304.52","728.40","721.69"
"Gasolio auto","2012-11-26","1712.26","297.17","617.40","797.69"
"GPL","2012-11-26","881.69","153.02","147.27","581.40"
"Benzina","2012-12-03","1750.21","303.76","728.40","718.05"
"Gasolio auto","2012-12-03","1707.91","296.41","617.40","794.10"
"GPL","2012-12-03","882.22","153.11","147.27","581.84"
"Benzina","2012-12-10","1742.58","302.43","728.40","711.75"
"Gasolio auto","2012-12-10","1699.14","294.89","617.40","786.85"
"GPL","2012-12-10","878.10","152.40","147.27","578.43"
"Benzina","2012-12-17","1745.42","302.92","728.40","714.10"
"Gasolio auto","2012-12-17","1697.37","294.58","617.40","785.39"
"GPL","2012-12-17","879.87","152.70","147.27","579.90"
"Benzina","2013-01-14","1759.22","305.32","728.40","725.50"
"Gasolio auto","2013-01-14","1700.29","295.09","617.40","787.80"
"GPL","2013-01-14","872.91","151.50","147.27","574.14"
"Benzina","2013-01-21","1742.23","302.37","728.40","711.46"
"Gasolio auto","2013-01-21","1683.13","292.11","617.40","773.62"
"GPL","2013-01-21","865.01","150.13","147.27","567.61"
"Benzina","2013-01-28","1751.40","303.96","728.40","719.04"
"Gasolio auto","2013-01-28","1691.00","293.48","617.40","780.12"
"GPL","2013-01-28","860.14","149.28","147.27","563.59"
"Benzina","2013-02-04","1764.56","306.25","728.40","729.91"
"Gasolio auto","2013-02-04","1694.41","294.07","617.40","782.94"
"GPL","2013-02-04","858.00","148.91","147.27","561.82"
"Benzina","2013-02-11","1778.32","308.63","728.40","741.29"
"Gasolio auto","2013-02-11","1696.86","294.50","617.40","784.96"
"GPL","2013-02-11","855.88","148.54","147.27","560.07"
"Benzina","2013-02-18","1796.01","311.70","728.40","755.91"
"Gasolio auto","2013-02-18","1705.01","295.91","617.40","791.70"
"GPL","2013-02-18","855.93","148.55","147.27","560.11"
"Benzina","2013-02-25","1810.42","314.21","728.40","767.81"
"Gasolio auto","2013-02-25","1710.96","296.94","617.40","796.62"
"GPL","2013-02-25","855.06","148.40","147.27","559.39"
"Benzina","2013-03-04","1809.72","314.08","728.40","767.24"
"Gasolio auto","2013-03-04","1706.02","296.09","617.40","792.53"
"GPL","2013-03-04","849.52","147.44","147.27","554.81"
"Benzina","2013-03-11","1803.82","313.06","728.40","762.36"
"Gasolio auto","2013-03-11","1698.54","294.79","617.40","786.35"
"GPL","2013-03-11","841.81","146.10","147.27","548.44"
"Benzina","2013-03-18","1788.22","310.35","728.40","749.47"
"Gasolio auto","2013-03-18","1686.98","292.78","617.40","776.80"
"GPL","2013-03-18","835.16","144.95","147.27","542.94"
"Benzina","2013-03-25","1780.40","309.00","728.40","743.00"
"Gasolio auto","2013-03-25","1679.05","291.41","617.40","770.24"
"GPL","2013-03-25","836.02","145.09","147.27","543.66"
"Benzina","2013-04-08","1771.04","307.37","728.40","735.27"
"Gasolio auto","2013-04-08","1667.30","289.37","617.40","760.53"
"GPL","2013-04-08","822.86","142.81","147.27","532.78"
"Benzina","2013-04-15","1753.09","304.26","728.40","720.43"
"Gasolio auto","2013-04-15","1648.77","286.15","617.40","745.22"
"GPL","2013-04-15","796.99","138.32","147.27","511.40"
"Benzina","2013-04-22","1722.85","299.01","728.40","695.44"
"Gasolio auto","2013-04-22","1621.60","281.43","617.40","722.77"
"GPL","2013-04-22","795.45","138.05","147.27","510.13"
