 idStation;speed;location;lat;lng
NC-443938228954810;rapid;Via Piave ‌Genova;44.393822;8.954810
OCPI-130-EVOS_thing2222;fast;VIALE NAZARIO SAURO 6 ‌Genova;44.394036;8.961496
OCPI-126-T124-IT1-3021-167;rapid;Piazza Leonardo da Vinci ‌Genova;44.397371;8.965224
OCPI-130-19XP22T5HK1AL00048;slow,fast;Via Francesco Domenico Guerrazzi, 4 ‌Genova;44.394301;8.967732
OCPI-130-EVOS_thing2516;slow,fast;Via Vittorino Era, 6 ‌Genova;44.394988;8.983148
OCPI-130-EVOS_thing9557;fast;Piazza Caprera ‌Genova;44.395428;8.974847
OCPI-130-EVOS_thing2198;fast;Largo Francesco Cattanei ‌Genova;44.396244;8.991100
OCPI-130-20XP22T3KK4AL00173;fast;Piazza Leonardo Da Vinci ‌Genova;44.397492;8.964940
OCPI-130-EVOS_thing2289;fast;Via delle Genziane 26 ‌Genova;44.397675;8.999776
OCPI-130-20XP22T3KK1AL00562;fast;Piazza Leopardi, 4 ‌Genova;44.399417;8.960714
WA-TESLA-54250;fast;Via Capolungo 28 ‌Genoa;44.380908;9.049255
OCPI-126-GS509.M504;slow,fast;Nervi Stazione FS ‌Genova;44.381430;9.039960
OCPI-130-EVOS_thing2210;fast;Piazza Duca degli Abruzzi ‌Genova;44.385208;9.035545
OCPI-130-EVOS_thing9622;fast;VIA PAGANO ‌Genova;44.385547;9.031714
OCPI-126-SC0069.CB;fast;Via del Commercio, 36 Nervi - Supermercato Co ‌Genova;44.386179;9.032640
OCPI-130-20XP22T3KK1AL00563;fast;Corso Europa, 1081 ‌Genova;44.393905;9.000804
OCPI-126-SC0028.CB;slow,fast;Via Camillo Benso Conte di Cavour, 1-26 ‌Bogliasco;44.380300;9.068110
DW-190150;fast;Piazza Nicoloso da Recco ‌Recco;44.362114;9.143492
NC-443502869231628;fast,rapid;Piazza delle Nazioni ‌Rapallo;44.350285;9.231628
NC-443520949222742;fast;Corso Goffredo Mameli 234 ‌Rapallo;44.352094;9.222742
OCPI-126-GS291.M504;slow;Via Sant'Anna, 58 ‌Rapallo;44.354080;9.212530
OCPI-129-9f6fa8f2-177b-46f2-9d01-8709fbeb7a56;fast;Via Pian dei Ratti, 28 ‌Orero;44.393820;9.270800
OCPI-130-21XP22T5HKJAL00302;slow,fast;Via Maurizio Caranza, 19028 Varese Ligure SP, ‌Varese Ligure;44.374487;9.593489
NC-443781609595408;fast;Via Maurizio Caranza 35 ‌Varese Ligure;44.378199;9.595412
