"idStation","speed","location","lat","lng","Sigla","Provincia"
"NC-439160258076888","fast","Via Diano San Pietro 101 ‌Diano Castello","43.916025","8.076888","IM","imperia"
"WA-TESLA-29168","fast","Via Sausette ‌Diano Marina","43.916177","8.091644","IM","imperia"
"WA-TESLA-20109","fast","Via Generale Ardoino ‌Diano Marina","43.916745","8.092214","IM","imperia"
"NC-439207568098584","slow","Via al Santuario, 8 ‌San Bartolomeo al Mare","43.920756","8.098584","IM","imperia"
"DW-200199","fast","Via al Santuario, 8 ‌San Bartolomeo al Mare","43.921449","8.098711","IM","imperia"
"OCPI-129-7a98c877-742e-45c3-b8c9-6bbcdd818f08","fast","Via Meloria, 4 ‌Diano Castello","43.9235","8.06733","IM","imperia"
"OCPI-130-EVOS_thing3363","fast","Via Bonfanti ‌Triora","43.993849","7.760287","IM","imperia"
"NC-439696377982013","slow","Via IV Novembre ‌Chiusavecchia","43.969637","7.982013","IM","imperia"
"OCPI-219-9c1e4412-02dd-420c-8c2a-47cde977931d","rapid","Autostrada A10 Genova-Ventimiglia, 32 ‌Andora SV","43.95908","8.1341","SV","savona"
"OCPI-126-SC0103.CB","fast","Via dei Glicini ‌Laigueglia","43.972252","8.159098","SV","savona"
"NC-439753148158096","slow","Via Roma ‌Laigueglia","43.975315","8.158096","SV","savona"
"NC-439991438166779","slow","Via Roma 63 ‌Alassio","43.999143","8.166779","SV","savona"
"OCPI-129-d2be87c4-2a29-4e27-aca0-fb8f7d57a6e1","fast","Strada Provinciale 6, 18 ‌Casanova Lerrone","44.031655","8.048229","SV","savona"
"OCPI-129-d5282e19-c0a9-4ed8-97a1-1188110bed8d","fast","Via Roma, 51 ‌Stellanello","44.00024","8.05924","SV","savona"
"WA-TESLA-26471","fast","Regione San Rocco ‌Garlenda","44.030455","8.114234","SV","savona"
"OCPI-207-IT*REV*E81","fast","Corso Dante Alighieri ‌Alassio","44.003162","8.168558","SV","savona"
"WA-TESLA-43194","fast","Via Giuseppe Galliano ‌Alassio","44.011455","8.172372","SV","savona"
