Provincia;Codice ISTAT Comune;Anno;Densita
ASCOLI PICENO;44007;2005;322.6
ASCOLI PICENO;44007;2006;321.6
ASCOLI PICENO;44007;2007;321.3
ASCOLI PICENO;44007;2008;321.4
ASCOLI PICENO;44007;2009;320.1
ASCOLI PICENO;44007;2010;318.9
ASCOLI PICENO;44007;2011;317.5
MASSA;45010;2000;723.1
MASSA;45010;2001;716.8
MASSA;45010;2002;710.1
MASSA;45010;2003;714.8
MASSA;45010;2004;726.9
MASSA;45010;2005;736.6
MASSA;45010;2006;738.5
MASSA;45010;2007;741.3
MASSA;45010;2008;747.4
MASSA;45010;2009;752.1
MASSA;45010;2010;753.8
MASSA;45010;2011;755.1
LUCCA;46017;2000;460.8
LUCCA;46017;2001;451.1
LUCCA;46017;2002;441.4
LUCCA;46017;2003;441.6
LUCCA;46017;2004;443.6
LUCCA;46017;2005;444.7
LUCCA;46017;2006;443.8
LUCCA;46017;2007;445.9
LUCCA;46017;2008;451.2
LUCCA;46017;2009;455.0
LUCCA;46017;2010;457.0
LUCCA;46017;2011;459.0
PISTOIA;47014;2000;362.7
PISTOIA;47014;2001;359.2
PISTOIA;47014;2002;355.7
PISTOIA;47014;2003;356.4
PISTOIA;47014;2004;358.6
PISTOIA;47014;2005;361.6
PISTOIA;47014;2006;364.2
PISTOIA;47014;2007;371.5
PISTOIA;47014;2008;378.8
PISTOIA;47014;2009;380.4
PISTOIA;47014;2010;381.0
PISTOIA;47014;2011;381.3
FIRENZE;48017;2000;3667.4
FIRENZE;48017;2001;3563.2
FIRENZE;48017;2002;3457.9
FIRENZE;48017;2003;3516.3
FIRENZE;48017;2004;3590.1
FIRENZE;48017;2005;3588.3
FIRENZE;48017;2006;3578.1
FIRENZE;48017;2007;3567.4
FIRENZE;48017;2008;3565.9
FIRENZE;48017;2009;3586.4
FIRENZE;48017;2010;3613.8
FIRENZE;48017;2011;3633.2
LIVORNO;49009;2000;1544.8
LIVORNO;49009;2001;1525.4
LIVORNO;49009;2002;1499.6
LIVORNO;49009;2003;1496.1
LIVORNO;49009;2004;1495.0
LIVORNO;49009;2005;1517.4
LIVORNO;49009;2006;1539.0
LIVORNO;49009;2007;1541.0
LIVORNO;49009;2008;1543.8
LIVORNO;49009;2009;1542.8
LIVORNO;49009;2010;1543.0
LIVORNO;49009;2011;1545.2
PISA;50026;2000;495.1
PISA;50026;2001;490.3
PISA;50026;2002;482.4
PISA;50026;2003;480.7
PISA;50026;2004;479.1
PISA;50026;2005;475.7
PISA;50026;2006;472.5
PISA;50026;2007;471.7
PISA;50026;2008;472.3
PISA;50026;2009;472.3
PISA;50026;2010;474.5
PISA;50026;2011;475.7
AREZZO;51002;2000;239.3
AREZZO;51002;2001;238.4
AREZZO;51002;2002;238.0
AREZZO;51002;2003;241.1
AREZZO;51002;2004;243.9
AREZZO;51002;2005;245.8
AREZZO;51002;2006;247.3
AREZZO;51002;2007;250.3
AREZZO;51002;2008;254.1
AREZZO;51002;2009;256.7
AREZZO;51002;2010;258.5
AREZZO;51002;2011;260.0
