"ITTER107","Territorio","TIPO_DATO8","Tipo dato","MISURA1","Misura","COICOP_CEF2","Gruppo di spesa","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITG","Isole","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_5","oli e grassi","2013","2013",14.61,,
"ITC4","Lombardia","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_8","bevande","2013","2013",45.53,,
"ITD4","Friuli-Venezia Giulia","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_6","patate, frutta e ortaggi","2013","2013",81.51,,
"ITC1","Piemonte","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_1","tabacchi","2013","2013",19.44,,
"ITE2","Umbria","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_6","sanità","2013","2013",78.76,,
"ITD5","Emilia-Romagna","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_8","comunicazioni","2013","2013",48.81,,
"ITE1","Toscana","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_1","tabacchi","2013","2013",19.34,,
"ITE","Centro","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_8","bevande","2013","2013",42.65,,
"ITE4","Lazio","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_3","pesce","2013","2013",46.56,,
"ITD5","Emilia-Romagna","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_5","mobili, elettrod. e servizi per la casa","2013","2013",142.16,,
"ITF3","Campania","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_1","tabacchi","2013","2013",26.73,,
"ITG2","Sardegna","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_4","combustibili ed energia","2013","2013",117.1,,
"ITDA","Trentino Alto Adige / Südtirol","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_7","trasporti","2013","2013",466.17,,
"ITC3","Liguria","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_6","patate, frutta e ortaggi","2013","2013",86.33,,
"ITG2","Sardegna","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_7","trasporti","2013","2013",288.63,,
"ITE","Centro","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_1","tabacchi","2013","2013",19.72,,
"ITC","Nord-ovest","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_4","latte, formaggi e uova","2013","2013",64.3,,
"ITF1","Abruzzo","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_3","abitazione (principale e secondaria)","2013","2013",562.21,,
"ITD","Nord-est","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_5","mobili, elettrod. e servizi per la casa","2013","2013",133.51,,
"ITE3","Marche","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_8","comunicazioni","2013","2013",45.14,,
"ITC","Nord-ovest","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_1","tabacchi","2013","2013",20.32,,
"ITD","Nord-est","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_1","tabacchi","2013","2013",18.35,,
"ITF2","Molise","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_7","trasporti","2013","2013",258.04,,
"ITE","Centro","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_5","mobili, elettrod. e servizi per la casa","2013","2013",107.45,,
"ITF3","Campania","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_7","trasporti","2013","2013",244.79,,
"ITF5","Basilicata","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_2","abbigliamento e calzature","2013","2013",112.72,,
"ITE2","Umbria","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_5","oli e grassi","2013","2013",17.08,,
"ITC","Nord-ovest","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_5","mobili, elettrod. e servizi per la casa","2013","2013",121.86,,
"ITE1","Toscana","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_7","trasporti","2013","2013",371.86,,
"ITF5","Basilicata","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_7","trasporti","2013","2013",268.4,,
"ITC","Nord-ovest","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_8","comunicazioni","2013","2013",47.5,,
"ITD","Nord-est","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_2","carne","2013","2013",98.07,,
"ITD2","Provincia Autonoma Trento","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_7","zucchero, caffè e drogheria","2013","2013",33.37,,
"ITC","Nord-ovest","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_4","combustibili ed energia","2013","2013",157.38,,
"ITE","Centro","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_4","combustibili ed energia","2013","2013",132.85,,
"IT","Italia","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_2","carne","2013","2013",106.84,,
"ITD","Nord-est","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_4","combustibili ed energia","2013","2013",159.81,,
"ITF3","Campania","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_7","zucchero, caffè e drogheria","2013","2013",38.63,,
"ITF","Sud","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_3","pesce","2013","2013",49.46,,
"ITF1","Abruzzo","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1","alimentari e bevande","2013","2013",478.45,,
"IT","Italia","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_1","pane e cereali","2013","2013",76.42,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_8","bevande","2013","2013",36.64,,
"ITE","Centro","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_8","comunicazioni","2013","2013",46.29,,
"ITDA","Trentino Alto Adige / Südtirol","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_6","patate, frutta e ortaggi","2013","2013",82.06,,
"ITF4","Puglia","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_8","bevande","2013","2013",39.21,,
"ITE","Centro","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_2","carne","2013","2013",114.7,,
"ITDA","Trentino Alto Adige / Südtirol","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_7","zucchero, caffè e drogheria","2013","2013",36.46,,
"ITC1","Piemonte","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_8","comunicazioni","2013","2013",44.17,,
"IT","Italia","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_7","zucchero, caffè e drogheria","2013","2013",33.68,,
"ITE2","Umbria","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_2","carne","2013","2013",113.23,,
"ITF","Sud","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1","alimentari e bevande","2013","2013",468.59,,
"ITF4","Puglia","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_8","comunicazioni","2013","2013",39.19,,
"ITD2","Provincia Autonoma Trento","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_8","comunicazioni","2013","2013",43.29,,
"ITG1","Sicilia","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_3","abitazione (principale e secondaria)","2013","2013",457.03,,
"ITG","Isole","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_7","trasporti","2013","2013",218.68,,
"ITF3","Campania","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_8","comunicazioni","2013","2013",39.73,,
"ITD1","Provincia Autonoma Bolzano / Bozen","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_3","pesce","2013","2013",22.05,,
